publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
The international monetary fund : distinguishing reality from rhetoric /		9780857939708 (e-book)							https://www.elgaronline.com/view/9780857939692.xml|https://doi.org/10.4337/9780857939708			Bird, Graham.	eep9780857939708		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
The economics of terrorism		9781784716141 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781784711863/9781784711863.xml|https://doi.org/10.4337/9781784716141				eep9781784716141		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
National accounting and economic growth		9781784718329 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781784718312/9781784718312.xml|https://doi.org/10.4337/9781784718329				eep9781784718329		fulltext		Edward Elgar Pub.,	Monograph		2016	313					P					
Inequality, growth and 'hot' money		9781784715014 (e-book)							https://www.elgaronline.com/view/9781784715007.xml|https://doi.org/10.4337/9781784715014			Bortz, Pablo G.	eep9781784715014		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Competition and regulation in electricity markets : an Edward Elgar research review /		9781784716295 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781783479771/9781783479771.xml|https://doi.org/10.4337/9781784716295				eep9781784716295		fulltext		Edward Elgar Publishing Limited,	Monograph		2016						P					
The economics and political economy of transportation security		9781785367779 (e-book)							https://www.elgaronline.com/view/9781849803731.xml|https://doi.org/10.4337/9781785367779			Button, Kenneth,	eep9781785367779		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Handbook of research methods and applications in heterodox economics		9781782548461 (e-book)							https://www.elgaronline.com/view/9781782548454.xml|https://doi.org/10.4337/9781782548461				eep9781782548461		fulltext		Edward Elgar Publishing Limited,	Monograph		2016						P					
Handbook of research methods and applications in happiness and quality of life		9781783471171 (e-book)							https://www.elgaronline.com/view/9781783471164.xml|https://doi.org/10.4337/9781783471171				eep9781783471171		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Recent developments in the economics of executive compensation		9781784718343 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781784718336/9781784718336.xml|https://doi.org/10.4337/9781784718343				eep9781784718343		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Beyond uneconomic growth : economics, equity and the ecological predicament /		9781783472499 (e-book)							https://www.elgaronline.com/view/9781783472482.xml|https://doi.org/10.4337/9781783472499				eep9781783472499		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
The economics of creative industries		9781785361517 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781785361500/9781785361500.xml|https://doi.org/10.4337/9781785361517				eep9781785361517		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016	317					P					
Handbook on the economics of the internet		9780857939852 (e-book)							https://www.elgaronline.com/view/9780857939845.xml|https://doi.org/10.4337/9780857939852				eep9780857939852		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Active labor market policies : an Edward Elgar research review /		9781784716202 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781783479887/9781783479887.xml|https://doi.org/10.4337/9781784716202			LaLonde, Robert John.	eep9781784716202		fulltext		Edward Elgar Publishing Limited,	Monograph		2016	318					P					
Liberty and equality in political economy : from Locke versus Rousseau to the present /		9781784712532 (e-book)							https://www.elgaronline.com/view/9781784712525.xml|https://doi.org/10.4337/9781784712532			Capaldi, Nicholas.	eep9781784712532		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
